Customer Name,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
a,1,Male,19,15,39
b,2,Male,21,15,81
c,3,Female,20,16,6
d,4,Female,23,16,77
e,5,Female,31,17,40
f,6,Female,22,17,76
g,7,Female,35,18,6
h,8,Female,23,18,94
i,9,Male,64,19,3
j,10,Female,30,19,72
k,11,Male,67,19,14
l,12,Female,35,19,99
m,13,Female,58,20,15
n,14,Female,24,20,77
o,15,Male,37,20,13
p,16,Male,22,20,79
q,17,Female,35,21,35
r,18,Male,20,21,66
s,19,Male,52,23,29
t,20,Female,35,23,98
u,21,Male,35,24,35
v,22,Male,25,24,73
w,23,Female,46,25,5
x,24,Male,31,25,73
y,25,Female,54,28,14
z,26,Male,29,28,82
a1,27,Female,45,28,32
a2,28,Male,35,28,61
a3,29,Female,40,29,31
a4,30,Female,23,29,87
a5,31,Male,60,30,4
a6,32,Female,21,30,73
a7,33,Male,53,33,4
a8,34,Male,18,33,92
a9,35,Female,49,33,14
a10,36,Female,21,33,81
a11,37,Female,42,34,17
a12,38,Female,30,34,73
a13,39,Female,36,37,26
a14,40,Female,20,37,75
a15,41,Female,65,38,35
a16,42,Male,24,38,92
a17,43,Male,48,39,36
a18,44,Female,31,39,61
a19,45,Female,49,39,28
a20,46,Female,24,39,65
a21,47,Female,50,40,55
a22,48,Female,27,40,47
a23,49,Female,29,40,42
a24,50,Female,31,40,42
a25,51,Female,49,42,52
a26,52,Male,33,42,60
a27,53,Female,31,43,54
a28,54,Male,59,43,60
a29,55,Female,50,43,45
a30,56,Male,47,43,41
a31,57,Female,51,44,50
a32,58,Male,69,44,46
a33,59,Female,27,46,51
a34,60,Male,53,46,46
a35,61,Male,70,46,56
a36,62,Male,19,46,55
a37,63,Female,67,47,52
a38,64,Female,54,47,59
a39,65,Male,63,48,51
a40,66,Male,18,48,59
a41,67,Female,43,48,50
a42,68,Female,68,48,48
a43,69,Male,19,48,59
a44,70,Female,32,48,47
a45,71,Male,70,49,55
a46,72,Female,47,49,42
a47,73,Female,60,50,49
a48,74,Female,60,50,56
a49,75,Male,59,54,47
a50,76,Male,26,54,54
a51,77,Female,45,54,53
a52,78,Male,40,54,48
a53,79,Female,23,54,52
a54,80,Female,49,54,42
a55,81,Male,57,54,51
a56,82,Male,38,54,55
a57,83,Male,67,54,41
a58,84,Female,46,54,44
a59,85,Female,21,54,57
a60,86,Male,48,54,46
a61,87,Female,55,57,58
a62,88,Female,22,57,55
a63,89,Female,34,58,60
a64,90,Female,50,58,46
a65,91,Female,68,59,55
a66,92,Male,18,59,41
a67,93,Male,48,60,49
a68,94,Female,40,60,40
a69,95,Female,32,60,42
a70,96,Male,24,60,52
a71,97,Female,47,60,47
a72,98,Female,27,60,50
a73,99,Male,48,61,42
a74,100,Male,20,61,49
a75,101,Female,23,62,41
a76,102,Female,49,62,48
a77,103,Male,67,62,59
a78,104,Male,26,62,55
a79,105,Male,49,62,56
a80,106,Female,21,62,42
a81,107,Female,66,63,50
a82,108,Male,54,63,46
a83,109,Male,68,63,43
a84,110,Male,66,63,48
a85,111,Male,65,63,52
a86,112,Female,19,63,54
a87,113,Female,38,64,42
a88,114,Male,19,64,46
a89,115,Female,18,65,48
a90,116,Female,19,65,50
a91,117,Female,63,65,43
a92,118,Female,49,65,59
a93,119,Female,51,67,43
a94,120,Female,50,67,57
a95,121,Male,27,67,56
a96,122,Female,38,67,40
a97,123,Female,40,69,58
a98,124,Male,39,69,91
a99,125,Female,23,70,29
a100,126,Female,31,70,77
a101,127,Male,43,71,35
a102,128,Male,40,71,95
a103,129,Male,59,71,11
a104,130,Male,38,71,75
a105,131,Male,47,71,9
a106,132,Male,39,71,75
a107,133,Female,25,72,34
a108,134,Female,31,72,71
a109,135,Male,20,73,5
a110,136,Female,29,73,88
a111,137,Female,44,73,7
a112,138,Male,32,73,73
a113,139,Male,19,74,10
a114,140,Female,35,74,72
a115,141,Female,57,75,5
a116,142,Male,32,75,93
a117,143,Female,28,76,40
a118,144,Female,32,76,87
a119,145,Male,25,77,12
